How it was read,Post,Sentence #,Sheet,Text,Detail
"The Final Category cell was empty, so the SHEET decided the section",1441,4,Q Claims,First private [CLAS-5(6)],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4256,3,Q Claims,FISA unmask_DECLAS[public][select date(s)]_week_2,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",233,1,Q Claims,Flash Dir_,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",365,1,Q Claims,FLASH_BREAK_,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4256,2,Q Claims,Flynn DOJ_dismiss_week_1,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1990,2,Q Claims,Footnote #5,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3006,18,Q Claims,FOREIGN (NOT DOMESTIC (FORBID LAW)),assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4317,5,Q Claims,Form Congressional Black Caucus [1971][compartmentalize-label],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",658,2,Q Claims,FREEDOM_,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",373,4,Q Claims,FREEDOM_#1-43,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3627,1,Q Claims,Future trip(c) re_verify:,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4603,8,Q Claims,FVEY non-FVEY spy_insert_campaign[s] 1&2,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4153,24,Q Claims,FVEY UK-AUS reverify AUTH_WH [unusual req special instruction],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3590,12,Q Claims,Hint: Energy,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3725,11,Q Claims,Hired/install _ C_A,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2681,17,Q Claims,"-House D's use subpoena power to ……………………Acts 1, 2, and 3. [spill +30]",assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2524,10,Q Claims,HUBER FISA(S) [2-way street],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3049,2,Q Claims,"If [D's] FIGHT to protect, safeguard, and promote all illegal immigrants as 'rightful' U.S. citizens who should be afforded all benefits and rights accordingly, WHY THEN WOULD THEY FIGHT TO BLOCK THEM FROM BEING 'COUNTED' AS PART OF THE U.S.",assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2545,2,Q Claims,If you decide to change careers…,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4310,32,Q Claims,IMPEACHMENT ARTICLES DELIVERED TO SENATE [HELD],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4620,50,Q Claims,Increase national debt [place China into controlling debt position _regain leverage],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4620,13,Q Claims,Install ‘controlled’ [rogue7_Bolton],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",570,11,Q Claims,Install rogue_ops,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1583,1,Q Claims,"Jan 20, 2017",assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1927,9,Q Claims,"January 1, 2019",assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4343,3,Q Claims,Japan total pop: 126 million [condensed (island)],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3348,2,Q Claims,Japan_public,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3025,1,Q Claims,"John Perry Barlow POST January 27, 2018",assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1583,2,Q Claims,"June 20, 2018",assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4541,2,Q Claims,"June 7, 2020",assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2326,4,Q Claims,Justice K confirmation [weekend],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",373,7,Q Claims,JUSTICE_FED_J[1-4]_remove + appellate,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",11,1,Q Claims,Key:,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2689,3,Q Claims,Keyword: 'Foreign',assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4362,2,Q Claims,Keyword: Insurgency,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1343,10,Q Claims,Kill [targeted] infection prior to expansion,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",570,30,Q Claims,KILL economy [starve/need/enslave],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",829,3,Q Claims,KILL_BOX[1A-23x],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",756,5,Q Claims,KILL_CHAIN,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2123,1,Q Claims,Last and final comment(s) re: AJ & Associates [attempts],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2694,1,Q Claims,Life Lesson - [AS],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4489,12,Q Claims,Lockdown(s) +C: [D] state mail-in-ballot doorstep flood,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4489,13,Q Claims,Lockdown(s) +C: Build public unrest _[future BLM (4)-year push],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4489,9,Q Claims,Lockdown(s) +C: Close churche(s) _other person-to-person [keep in isolation _dim energy _fear no hope],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4489,10,Q Claims,Lockdown(s) +C: Inc death toll _[D] mayor(s)/gov(s) push COVID positive seniors to hot zone(s) [senior (home) care facilities] _retain FEAR & lockdown (isolate _control) _combine pneumonia influenza death count w/ COVID [inc death toll],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3231,1,Q Claims,Marker [1],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3232,1,Q Claims,Marker [2],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",959,8,Q Claims,Mask & Spin,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4299,2,Q Claims,Masking v unmasking incidentally intercepted v direct [target],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2369,9,Q Claims,McCabe Memos [source] >>> NYT [RR] 'wear a wire',assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1990,16,Q Claims,Meetings Not Yet Released [+7],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2963,1,Q Claims,MGL_change_route_under,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2287,2,Q Claims,MIDTERM ELECTIONS,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1316,7,Q Claims,"Mike Kortan, FBI Assistant Director for Public Affairs - FIRED [cooperating under 'resigned' title]",assumed claims
"The Final Category cell was empty, so the SHEET decided the section",836,6,Q Claims,Mission 1: Infiltrate,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",836,7,Q Claims,Mission 2: Centralize,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",836,18,Q Claims,Mission 6: Fiddler > Ghost-PRIME,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",836,19,Q Claims,Mission 7: CLAS,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",836,20,Q Claims,Mission 8: Whistle Blower traps - jobs C-3567k,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",836,21,Q Claims,Mission 9: Censorship,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",510,1,Q Claims,MISSING POST RE: DEFCON [1],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2,25,Q Claims,Mockingbird 10.30.17,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1496,7,Q Claims,Modified IG redacted report [RR version],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1496,5,Q Claims,Modified IG unredacted report [RR version],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2113,2,Q Claims,Month: Sept,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4505,2,Q Claims,More coming? [senior],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3004,12,Q Claims,NO_LEAKS,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3595,3,Q Claims,Non_FVEY official chan [US senior person(s) req given sensitive nature of 'target' re: presidential nominee(s) - POTUS + Cruz [CLAS 1-4]],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",756,21,Q Claims,NORTH_TRADE_OK,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3764,19,Q Claims,NSA data_bridge DNC-Crowdstrike [bulk data collection],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1944,3,Q Claims,NSA INSCOM BRIDGE,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3586,16,Q Claims,NSA v C_A,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4281,3,Q Claims,Objective [end]: checkmate king,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1990,13,Q Claims,Ohr FD-302 05/10/17 (interview date 05/08/17) - POTUS / 1-DAY PRIOR TO +++++JC FIRING+++++ [RR],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",299,6,Q Claims,Oil Tech Sex/Children,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1822,27,Q Claims,On and on……..(knowingly false),assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1474,5,Q Claims,ON GUARD Z-BUNK_T6_Y,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3893,3,Q Claims,Per MSM [Fake News]:,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4763,3,Q Claims,PAN[DEM]IC_DEM_PANIC,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1958,5,Q Claims,Part (2) - Rally [RED October],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2076,3,Q Claims,Pages 33 & 34,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",459,2,Q Claims,Operational_window(5-6)_FDeltaC25-26,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",129,4,Q Claims,Operations --> [N]o [S]uch [A]gency,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",502,1,Q Claims,Original [15] min,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2043,22,Q Claims,"P, X, Y, Z = BULK DATA COLLECTION [UMBRELLA]",assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3764,11,Q Claims,Personal comms [secured] prior to release? [1],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2107,13,Q Claims,Pg [    ] - Sally Yates,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1010,14,Q Claims,PHARMA [CLAS-D],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2516,3,Q Claims,Players: 8,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",436,30,Q Claims,PODESTA>,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2397,12,Q Claims,POTUS AF1 [RR] > Mueller END,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",321,2,Q Claims,POTUS: 1:37 US Military,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4295,13,Q Claims,Power over [                   ],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4672,3,Q Claims,pre protests [riots] start - 60 protests [riots],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4620,12,Q Claims,Pre_Install [rogue3-6] > referral(s) to POTUS re: McMaster_Coats_Wray_Bolton_+++,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1314,5,Q Claims,Pre_stage cap_y,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2465,5,Q Claims,Pre_stage cap_y,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3351,5,Q Claims,Pre_stage cap_y,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1314,4,Q Claims,Pre_stage dir_y,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2465,4,Q Claims,Pre_stage dir_y,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3351,4,Q Claims,Pre_stage dir_y,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1314,2,Q Claims,Pre_stage ele_y,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2465,2,Q Claims,Pre_stage ele_y,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3351,2,Q Claims,Pre_stage ele_y,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1314,3,Q Claims,Pre_stage sec_y,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2465,3,Q Claims,Pre_stage sec_y,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3351,3,Q Claims,Pre_stage sec_y,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1343,8,Q Claims,Prevent false decodes/misinformation,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",363,3,Q Claims,Private OP_END,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",717,2,Q Claims,Private: Clowns Clowns Clowns,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",436,23,Q Claims,PS>,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2663,13,Q Claims,PTSD+,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4258,2,Q Claims,Public v [matters of NAT SEC],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4620,48,Q Claims,Push state-bailout stimulus [CA][NY] + wish list items,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3203,3,Q Claims,Q #2849,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",756,32,Q Claims,"Q, DELTA",assumed claims
"The Final Category cell was empty, so the SHEET decided the section",757,6,Q Claims,"Q, DELTA",assumed claims
"The Final Category cell was empty, so the SHEET decided the section",365,20,Q Claims,Q/POTUS-1,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",365,21,Q Claims,Q/POTUS-2,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",365,22,Q Claims,Q/POTUS-3,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",365,23,Q Claims,Q/POTUS-4 [10],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",365,24,Q Claims,Q/POTUS-5,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1226,6,Q Claims,Q: SR,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",14,1,Q Claims,SCI[F],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",17,9,Q Claims,Common drive of posts they all tap into.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",219,4,Q Claims,The_Castle_Runs_RED_yes,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",228,2,Q Claims,SA_leadership change,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",228,1,Q Claims,USA_leadership change,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",240,7,Q Claims,Re_8ch_carry_good_,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",373,2,Q Claims,NAT_SEC_,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",373,3,Q Claims,"NAT_SEC_A,H,H, L, B, E, classified Cdg-23k",assumed claims
"The Final Category cell was empty, so the SHEET decided the section",395,1,Q Claims,SEA_TO_SHINING_SEA,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",459,5,Q Claims,Twitter FW_,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",502,3,Q Claims,Revised [1] min,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",534,1,Q Claims,Side_by_Side (graphic form):,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",564,9,Q Claims,MSM contractors #Goodbye#,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",570,25,Q Claims,U1 fund/supply IRAN/NK [+reduce US capacity],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",582,4,Q Claims,Safe comms_SAT-re_Bz985300^00,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",728,1,Q Claims,Timestamp:,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",731,1,Q Claims,Timestamp:,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",771,9,Q Claims,T-minus [12:34],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",772,3,Q Claims,Unreleased [CLAS-HIGHEST]:,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",834,2,Q Claims,187,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",873,3,Q Claims,Re: IBOR,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",928,9,Q Claims,The ‘Mission’,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1008,24,Q Claims,MS[13][13=M]MSM - The 'Wheel',assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1029,5,Q Claims,Night [2],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1030,3,Q Claims,Night [2],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1065,3,Q Claims,Night [3],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1077,1,Q Claims,Night [4],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1134,4,Q Claims,Night [5],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1176,1,Q Claims,187.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1385,1,Q Claims,US History [ABCs],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1443,16,Q Claims,Tarmac,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1559,3,Q Claims,Viv[a] vs Viv[e],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1559,1,Q Claims,DECLAS,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1563,1,Q Claims,Text A Text B,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1563,2,Q Claims,Text C,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1787,3,Q Claims,Tracking: 52-58mm,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1794,8,Q Claims,Re: MSM,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1805,4,Q Claims,Threat 1,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1805,5,Q Claims,Threat 2,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1822,26,Q Claims,9.,assumed claims
The same line appeared twice with the same destination,1822,26,Q Claims,9.,The same line appeared twice with the same destination. Certified once.
"The Final Category cell was empty, so the SHEET decided the section",1860,4,Q Claims,The More You Know…,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1872,3,Q Claims,Next: Man [caught] who follows 'Q',assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1877,4,Q Claims,TWITTER GEO-T/L,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1880,5,Q Claims,The more you know…,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1915,6,Q Claims,Same day as the targeted [coordinated] attack v.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1939,13,Q Claims,REQ = [Think Highest Levels],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1944,11,Q Claims,NAT SEC,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1948,11,Q Claims,1991,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1951,2,Q Claims,-The People (Q),assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1960,6,Q Claims,The More You Know…,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",1986,15,Q Claims,The More You Know…,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2072,1,Q Claims,"The ""Experts""",assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2135,3,Q Claims,198,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2188,2,Q Claims,SEPT —–17—–,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2206,6,Q Claims,SEPT 10 DROP re: MEMES NON_NSA ABILITY,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2206,7,Q Claims,SEPT 13 & 14 [2] ARTICLES DROP re: FB MEMES,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2206,8,Q Claims,SEPT 16 [2] ARTICLES DROPPED/HIGHLIGHTED [EXAMPLES],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2206,9,Q Claims,SEPT 18 [WIRED] RESPONDS [1] ARTICLE re: MEMES & Q,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2211,32,Q Claims,"The ""Experts""",assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2257,3,Q Claims,The More You Know…,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2286,4,Q Claims,DECLAS,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2300,5,Q Claims,DECLAS,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2319,17,Q Claims,The More You Know…,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2326,3,Q Claims,Sessions tomorrow [doc related],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2335,8,Q Claims,The More You Know…,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2359,4,Q Claims,The More You Know…,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2375,4,Q Claims,The More You Know…,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2467,17,Q Claims,The More You Know…,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2468,1,Q Claims,The 'Scaramucci' Play,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2470,3,Q Claims,Sealed > Unsealed,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2584,2,Q Claims,Re: #5 Impeachment,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2592,3,Q Claims,The More You Know…,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2642,5,Q Claims,The More You Know…,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",2709,3,Q Claims,Narrow/+wide,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3071,2,Q Claims,RE: [D’s] PREP TO STEAL 2020 ELECTIONS,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3125,2,Q Claims,The attempted 'COUP' [TREASON] opens the 'public' door to more serious……,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3348,4,Q Claims,SK_non_public,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3364,2,Q Claims,Tarmac meetings_END,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3407,1,Q Claims,Re: Border Fight,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3409,1,Q Claims,Smoke & Mirrors,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3409,12,Q Claims,Smoke & Mirrors,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3428,4,Q Claims,UK/US 1&2,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3469,5,Q Claims,Targets ('models') generally 'green lit' based on 'humble' 'poorer' family background? [prevent possible 'legal' retaliation],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3534,5,Q Claims,The More You Know…,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3563,3,Q Claims,The More You Know…,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",3836,20,Q Claims,US pol corruption Ukraine [US leverage on behalf of…],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4137,5,Q Claims,The more you know…,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4162,10,Q Claims,MSM assets complicit? [knowingly],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4224,4,Q Claims,Topic: Rule of Law @ Risk,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4256,10,Q Claims,9,assumed claims
The same line appeared twice with the same destination,4256,10,Q Claims,9,The same line appeared twice with the same destination. Certified once.
"The Final Category cell was empty, so the SHEET decided the section",4299,8,Q Claims,Target location: US or abroad [traveling][rules],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4310,1,Q Claims,Relevance re: [Susan Rice] 'top secret' [DECLAS] paragraph:,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4334,2,Q Claims,The more you know…,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4490,3,Q Claims,"Reality [seen on social media]: murder, violence, destruction, anarchy, lawlessness…",assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4603,6,Q Claims,Upstream collection. [umbrella],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4612,3,Q Claims,Next: more 'act of violence' frame-ups,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4620,68,Q Claims,SHADOW PRESIDENCY [HUSSEIN],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4620,43,Q Claims,9.,assumed claims
The same line appeared twice with the same destination,4620,43,Q Claims,9.,The same line appeared twice with the same destination. Certified once.
"The Final Category cell was empty, so the SHEET decided the section",4635,2,Q Claims,RE: IRREGULAR WARFARE,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4635,18,Q Claims,Then: force economic destruction as recruiting [division] tactic to drive enlistment rate,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4635,10,Q Claims,Then: physical assaults of political opponents,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4635,16,Q Claims,Then: radical anti-capitalistic platform (socialism),assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4635,12,Q Claims,Then: voter intimidation in National and local elections,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4686,5,Q Claims,"SEPT 14-18, 21-25 [track & follow events]",assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4688,18,Q Claims,9.,assumed claims
The same line appeared twice with the same destination,4688,18,Q Claims,9.,The same line appeared twice with the same destination. Certified once.
"The Final Category cell was empty, so the SHEET decided the section",4737,2,Q Claims,SEPT 21-25 [track & follow events],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4778,3,Q Claims,"Trial date: July 12, 2021",assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4817,3,Q Claims,USA CHINA Phase I deal executed [China bad day],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4871,1,Q Claims,NAT SEC concerns re: blackmail [gain control] of J.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4881,13,Q Claims,Retweet @ 17:17 had meaning. [mathematical probability _17:17 [day after]?],assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4881,3,Q Claims,1,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",4962,13,Q Claims,1913.,assumed claims
"The Final Category cell was empty, so the SHEET decided the section",35,12,Q Entities,"4,10,20",assumed entities
"The Final Category cell was empty, so the SHEET decided the section",40,1,Q Entities,"4,10,20",assumed entities
"The Final Category cell was empty, so the SHEET decided the section",81,4,Q Entities,Snow White,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",84,7,Q Entities,Snow White,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",87,2,Q Entities,Snow White,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",88,21,Q Entities,Snow White,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",89,10,Q Entities,Snow White,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",91,11,Q Entities,Snow White,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",95,5,Q Entities,Snow White,assumed entities
"The Final Category cell was empty, so the SHEET decided the section",100,56,Q Entities,Snow White,assumed entities
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",123,3,Q Entities,+++,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",124,2,Q Entities,++,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula",124,3,Q Entities,+,"The cell began with an apostrophe because the line starts with ""+"", ""-"" or ""="" and Excel would otherwise read it as a formula. Not a character Q typed, so it was removed before matching."
