Theme anchor,Post,The text,What else covers it
DECLAS,3548,DECLAS,claim+bracketCode
DECLAS,3559,DECLAS,claim+bracketCode
MSM,3563,MSM,question
public opinion,3563,public opinion,claim
It's going to be BIBLICAL.,3565,It's going to be BIBLICAL.,prediction
MSM,3582,MSM,question
whistleblower,3584,whistleblower,url
surveillance,3584,surveillance,url
Whistleblower,3586,Whistleblower,question
Indictments,3587,Indictments,prediction
DECLAS,3588,DECLAS,question
SIGINT,3588,SIGINT,claim
FAKE NEWS,3588,FAKE NEWS,question
THE GREAT AWAKENING,3588,THE GREAT AWAKENING,claim
qresearch,3593,qresearch,url
armor of God,3593,armor of ,request
armor of God,3593,God,request+namedEntity
armor of God,3593,armor of ,request
armor of God,3593,God,request+namedEntity
armor of God,3594,armor of ,request
armor of God,3594,God,request+namedEntity
armor of God,3594,armor of ,request
armor of God,3594,God,request+namedEntity
HUMINT,3595,HUMINT,claim
anons,3597,anons,question
Military Intelligence,36,Military Intelligence,namedEntity
slush fund,36,slush fund,question
What if the wizards and warlocks tipped off a local reporter as to the supposed unscheduled stop?,36,What if the wizards and warlocks tipped off a local reporter as to the supposed unscheduled stop?,question
There is no escaping God.,3600,There is no escaping ,claim
There is no escaping God.,3600,God,namedEntity+claim
There is no escaping God.,3600,.,claim
SIGINT,3602,SIGINT,question
FISA,3603,FISA,namedEntity+claim
FAKE NEWS,3607,FAKE NEWS,question+bracketCode
THE GREAT AWAKENING,3607,THE GREAT AWAKENING,claim
public opinion,3608,public opinion,claim
public opinion,3608,public opinion,claim
public opinion,3610,public opinion,claim
public opinion,3610,public opinion,claim
Divided by religion.,3613,Divided by religion.,claim
THE GREAT AWAKENING,3616,THE GREAT AWAKENING,claim
"Godspeed, Patriots.",362,"Godspeed, ",request
"Godspeed, Patriots.",362,Patriots,request+namedEntity
"Godspeed, Patriots.",362,.,request
The Great Awakening,3622,The Great Awakening,claim
It's going to be BIBLICAL!,3624,It's going to be BIBLICAL!,prediction
THE GREAT AWAKENING,3624,THE GREAT AWAKENING,claim
Anon,3627,Anon,prediction
WWG1WGA,3630,WWG1WGA,request
WWG1WGA,3631,WWG1WGA,request
Anons,3645,Anons,request
Anons,3646,Anons,question
FISA,3646,FISA,question+namedEntity
summit,3647,summit,url
DECLAS_ATL_,365,DECLAS_,claim
DECLAS_ATL_,365,ATL,namedEntity+claim
DECLAS_ATL_,365,_,claim
The Great Awakening,365,The Great Awakening,request
lockdown,3654,lockdown,url
Congressional hearing,3659,Congressional hearing,question
THE GREAT AWAKENING,3662,THE GREAT AWAKENING,claim
Public opinion,3668,Public opinion,claim
FAKE NEWS,3677,FAKE NEWS,question
THE GREAT AWAKENING,3681,THE GREAT AWAKENING,claim
WWG1WGA,3682,WWG1WGA,request
"""Put on the full armor of God, so that you can take your stand against the devil’s schemes.""",3683,Put on the full armor of ,request
"""Put on the full armor of God, so that you can take your stand against the devil’s schemes.""",3683,God,request+namedEntity
"""Put on the full armor of God, so that you can take your stand against the devil’s schemes.""",3683,", so that you can take your stand against the devil’s schemes.",request
Anons,3685,Anons,question
FISA,3689,FISA,namedEntity+claim
BISHOP (cult).,369,BISHOP (cult).,claim
DECLAS,3690,DECLAS,claim
FISA,3693,FISA,question+namedEntity+bracketCode
FISA,3693,FISA,namedEntity+claim
FISA,3693,FISA,namedEntity+claim
FISA,3693,FISA,namedEntity+claim
Fight the good fight.,37,Fight the good fight.,request
impeachment,3702,impeachment,question
Anons,3703,Anons,question
"Though, nothing should ever replace 'Christ' in 'Christmas'.",3707,"Though, nothing should ever replace '",claim
"Though, nothing should ever replace 'Christ' in 'Christmas'.",3707,Christ,namedEntity+claim
"Though, nothing should ever replace 'Christ' in 'Christmas'.",3707,' in 'Christmas'.,claim
Anons,3707,Anons,claim
indictment,3716,indictment,prediction
indictment,3717,indictment,prediction
impeachment,3720,impeachment,question
Divided by religion.,3721,Divided by religion.,claim
election interference,3724,election interference,claim
election interference,3724,election interference,claim
election interference,3724,election interference,claim
Pray.,3728,Pray.,request
Anons,3734,Anons,question
Pray.,374,Pray.,request
FISA,3740,FISA,namedEntity+claim
public opinion,3741,public opinion,question+bracketCode
impeachment,3741,impeachment,question
impeachment,3741,impeachment,question
FISA,3741,FISA,namedEntity
impeachment,3741,IMPEACHMENT,question
IMPEACHMENT,3742,IMPEACHMENT,question
Anons,3752,Anons,request
National Security,3764,National Security,claim
FISA,3764,FISA,namedEntity+claim
election interference,3770,election interference,question
impeachment,3774,impeachment,bracketCode
impeachment,3774,impeachment,question
THE GREAT AWAKENING,3775,THE GREAT AWAKENING,claim
Anon,3781,Anon,request
FVEY,3784,FVEY,namedEntity+claim+bracketCode
FVEY,3784,FVEY,namedEntity+claim+bracketCode
DECLAS,3784,declas,question
FISA,3790,FISA,question+namedEntity
FISA,3790,FISA,question+namedEntity
Anons,3791,Anons,bracketCode
FAKE NEWS,3792,FAKE NEWS,question
The Great Awakening,3792,The Great Awakening,claim
Anons,3800,Anons,claim
Impeachment,3806,Impeachment,claim
Whistleblower,3808,Whistleblower,bracketCode
impeachment,3809,impeachment,claim
Bribery,3809,Bribery,question
THE GREAT AWAKENING,3815,THE GREAT AWAKENING,claim
FISA,3816,FISA,namedEntity+claim
Anons,3819,Anons,claim
SATAN has left the WH.,382,SATAN has left the ,claim
SATAN has left the WH.,382,WH,namedEntity+claim
SATAN has left the WH.,382,.,claim
FAKE NEWS,3825,FAKE NEWS,question+bracketCode
Impeachment,3835,Impeachment,question
Impeachment,3836,Impeachment,bracketCode
National Security,3836,National Security,question
>Religion,3838,>Religion,claim
investigation into,3841,investigation into,question
investigation into,3841,investigation into,question
election interference,3841,election interference,question
investigation into,3841,investigation into,question
bribe,3842,bribe,question
FISA,3850,FISA,question+namedEntity
Impeachment,3850,Impeachment,question
Impeachment,3850,Impeachment,question
FAKE NEWS,3850,FAKE NEWS,question+bracketCode
impeachment,3853,impeachment,question
FAKE NEWS,3857,FAKE NEWS,question
Divided by religion.,3858,Divided by religion.,claim
Baker,3876,Baker,request+namedEntity
MSM,3876,MSM,question+bracketCode
WWG1WGA,3879,WWG1WGA,request
Anons,3880,Anons,claim
Muslim Brotherhood,3881,Muslim Brotherhood,namedEntity
"Finally, be strong in the Lord and in his mighty power.",3887,"Finally, be strong in the Lord and in his mighty power.",request
WWG1WGA,3889,WWG1WGA,request
Godspeed.,3890,Godspeed.,request
MSM,3893,MSM,claim
WWG1WGA,3893,WWG1WGA,request
Impeachment,3896,Impeachment,bracketCode
Impeachment,3896,impeachment,question
MSM,3896,MSM,claim
administration,39,administration,question
Divided by religion.,3905,Divided by religion.,claim
"""Free thought"" is a philosophical viewpoint which holds that positions regarding truth should be formed on the basis of logic, reason, and empiricism, rather than authority, tradition, revelation, or dogma.",3906,"""Free thought"" is a philosophical viewpoint which holds that positions regarding truth should be formed on the basis of ",claim
WWG1WGA,3906,WWG1WGA,request
GOD BLESS,3907,GOD,request+namedEntity
GOD BLESS,3907, BLESS,request
WWG1WGA,3907,WWG1WGA,request
COVID,3913,COVID,question+namedEntity
impeachment,3915,impeachment,question
impeachment,3915,impeachment,question
impeachment,3915,impeachment,question
MSM,3915,MSM,question
Did you think 'spirit cooking' was just pretend?,3917,Did you think 'spirit cooking' was just pretend?,question
COVID,3918,COVID,question+bracketCode
FISA,3921,FISA,namedEntity+claim
INDICTMENTS,3921,INDICTMENTS,claim
WWG1WGA,3927,WWG1WGA,request
WWG1WGA,3928,WWG1WGA,request
MSM,3929,MSM,bracketCode
MSM,3929,MSM,question+bracketCode
FISA,3929,FISA,namedEntity
Board owner,393,Board owner,claim
HAPPY GOOD FRIDAY!!!,3930,HAPPY GOOD FRIDAY!!!,request
investigations into,3932,investigations into,prediction
Indictments,3934,Indictments,bracketCode
Indictments,3934,Indictments,bracketCode
WWG1WGA,3935,WWG1WGA,request
WWG1WGA,3936,WWG1WGA,request
WWG1WGA,3938,WWG1WGA,request
WWG1WGA,3939,WWG1WGA,request
WWG1WGA,3940,WWG1WGA,request
WWG1WGA,3941,WWG1WGA,request
WWG1WGA,3942,WWG1WGA,request
WWG1WGA,3943,WWG1WGA,request
WWG1WGA,3944,WWG1WGA,request
WWG1WGA,3945,WWG1WGA,request
WWG1WGA,3946,WWG1WGA,request
WWG1WGA,3947,WWG1WGA,request
WWG1WGA,3948,WWG1WGA,request
WWG1WGA,3949,WWG1WGA,request
God bless,3950,God,request+namedEntity
God bless,3950, bless,request
MSM,3959,MSM,claim
FISA,3966,FISA,namedEntity+claim
WWG1WGA,3981,WWG1WGA,request
WWG1WGA,3984,WWG1WGA,request
anons,399,anons,claim
CHAIN OF COMMAND,3990,CHAIN OF COMMAND,question
CHAIN OF COMMAND,3990,CHAIN OF COMMAND,question
FISA,3990,FISA,question+namedEntity
CHAIN OF COMMAND,3990,CHAIN OF COMMAND,question
INDICTMENT,3990,INDICTMENT,question
FISA,3990,FISA,question+namedEntity
Baker,3990,Baker,namedEntity+claim
protests,3992,protests,claim
FAKE NEWS,3992,FAKE NEWS,claim
impeachment,3992,impeachment,claim
DECLASSIFIED,3993,DECLASSIFIED,prediction
covid,4003,covid,question
Anons,4004,Anons,claim
"This is best achieved when the political cause of the insurgency has strong appeal, manipulating religious, tribal or local identity to exploit common societal grievances or needs.",4008,"This is best achieved when the political cause of the insurgency has strong appeal, manipulating religious, tribal or lo",claim
COVID,4014,COVID,question+namedEntity
Vote-by-Mail,4014,Vote-by-Mail,question
FISA,4014,FISA,question+namedEntity
CHAIN OF COMMAND,4016,CHAIN OF COMMAND,question+bracketCode
SIGINT,4021,SIGINT,request
NATIONAL SECURITY,4022,NATIONAL SECURITY,claim
COVID,4041,COVID,question+namedEntity
COVID,4041,COVID,question+namedEntity
COVID,4042,COVID,question+namedEntity
NATIONAL SECURITY,4045,NATIONAL SECURITY,question
DECLAS,4045,DECLAS,question+bracketCode
COVID,4045,COVID,question+namedEntity
Impeachment,4045,Impeachment,question
COVID,4045,COVID,question+namedEntity
COVID,4045,covid,namedEntity
WWG1WGA,4046,WWG1WGA,request
WWG1WGA,4047,WWG1WGA,request
For God and Country.,4048,For ,request
For God and Country.,4048,God,request+namedEntity
For God and Country.,4048, and Country.,request
WWG1WGA,4049,WWG1WGA,request
censorship,4050,censorship,claim
WWG1WGA,4050,WWG1WGA,request
WWG1WGA,4051,WWG1WGA,request
WWG1WGA,4052,WWG1WGA,request
WWG1WGA,4053,WWG1WGA,request
WWG1WGA,4055,WWG1WGA,request
WWG1WGA,4056,WWG1WGA,request
WWG1WGA,4057,WWG1WGA,request
WWG1WGA,4058,WWG1WGA,request
WWG1WGA,4060,WWG1WGA,request
WWG1WGA,4061,WWG1WGA,request
WWG1WGA,4062,WWG1WGA,request
WWG1WGA,4063,WWG1WGA,request
GOD WINS!,4063,GOD,namedEntity+claim
GOD WINS!,4063, WINS!,claim
WWG1WGA,4064,WWG1WGA,request
WWG1WGA,4067,WWG1WGA,request
WWG1WGA,4068,WWG1WGA,request
WWG1WGA,4069,WWG1WGA,request
WWG1WGA,4070,WWG1WGA,request
WWG1WGA,4071,WWG1WGA,request
COVID,4076,COVID,question+namedEntity
VOTE-BY-MAIL,4076,VOTE-BY-MAIL,question
WWG1WGA,4082,WWG1WGA,request
convicted,4088,convicted,question
lockdown,4088,lockdown,question
Anon,409,Anon,claim
lockdown,4090,lockdown,question+bracketCode
COVID,4094,COVID,question
MSM,4101,MSM,question
MSM,4105,MSM,request
WWG1WGA,4113,WWG1WGA,request
COVID,4120,COVID,question
COVID,4120,COVID,question
God bless,414,God,request+namedEntity
God bless,414, bless,request
Anons,4143,Anons,request
"Godspeed, Patriots.",415,"Godspeed, ",request
"Godspeed, Patriots.",415,Patriots,request+namedEntity
"Godspeed, Patriots.",415,.,request
MSM,4153,MSM,bracketCode
FVEY,4153,FVEY,namedEntity+claim
FVEY,4153,FVEY,namedEntity+claim
Baker,4153,Baker,namedEntity+claim
MSM,4153,MSM,claim+bracketCode
COVID,4156,COVID,question+namedEntity
MSM,4162,MSM,claim
COVID,4171,COVID,claim
COVID,4171,COVID,claim
COVID,4171,COVID,question
The Great Awakening,4177,The Great Awakening,claim
WWG1WGA,4183,WWG1WGA,request
WWG1WGA,4184,WWG1WGA,request
WWG1WGA,4185,WWG1WGA,request
WWG1WGA,4186,WWG1WGA,request
WWG1WGA,4187,WWG1WGA,request
WWG1WGA,4188,WWG1WGA,request
WWG1WGA,4189,WWG1WGA,request
WWG1WGA,4190,WWG1WGA,request
WWG1WGA,4191,WWG1WGA,request
WWG1WGA,4192,WWG1WGA,request
WWG1WGA,4193,WWG1WGA,request
WWG1WGA,4194,WWG1WGA,request
declas,4196,declas,question
declas,4196,declas,question
subpoena,4196,subpoena,question
MSM,4196,MSM,question
impeachment,4196,impeachment,question
impeachment,4196,impeachment,question
impeachment,4196,impeachment,question
MSM,4196,MSM,question
Anons,4199,Anons,claim
Armor of God,4207,Armor of ,request
Armor of God,4207,God,request+namedEntity
Armor of God,4207,armor of ,request
Armor of God,4207,God,request+namedEntity
Armor of God,4207,armor of ,request
Armor of God,4207,God,request+namedEntity
vote-by-mail,4219,vote-by-mail,question
Anon,4226,Anon,claim
FISA,4226,FISA,question+namedEntity
Anon,4229,Anon,claim
FISA,4231,FISA,namedEntity+claim
FISA,4231,FISA,question+namedEntity
unmask,4232,unmask,question
VOTE-BY-MAIL,4245,VOTE-BY-MAIL,question
COVID,4247,COVID,question
COVID,4247,COVID,question
COVID,4247,COVID,question
FISA,4256,FISA,namedEntity+claim
WWG1WGA,4259,WWG1WGA,request
WWG1WGA,4260,WWG1WGA,request
WWG1WGA,4261,WWG1WGA,request
WWG1WGA,4262,WWG1WGA,request
WWG1WGA,4263,WWG1WGA,request
WWG1WGA,4264,WWG1WGA,request
WWG1WGA,4265,WWG1WGA,request
WWG1WGA,4266,WWG1WGA,request
WWG1WGA,4267,WWG1WGA,request
WWG1WGA,4268,WWG1WGA,request
WWG1WGA,4269,WWG1WGA,request
WWG1WGA,4270,WWG1WGA,request
WWG1WGA,4271,WWG1WGA,request
WWG1WGA,4272,WWG1WGA,request
WWG1WGA,4273,WWG1WGA,request
WWG1WGA,4274,WWG1WGA,request
God bless,4276,God,request+namedEntity
God bless,4276, bless,request
WWG1WGA,4277,WWG1WGA,request
FISA,4280,FISA,namedEntity+claim
public opinion,4281,public opinion,question
COVID,4282,COVID,question
MSM,4290,MSM,question
censoring,4290,censoring,question
WWG1WGA,4291,WWG1WGA,request
subpoena,4293,subpoena,claim
COVID,4293,COVID,claim
MSM,4293,MSM,question+bracketCode
vote-by-mail,4294,vote-by-mail,prediction+bracketCode
convicts,4294,convicts,claim
Religion v religion,4295,Religion v religion,claim
Ask and you shall receive.,4298,Ask and you shall receive.,request
unmasking,4299,unmasking,claim
vaccine,4306,vaccine,question
DECLAS,4310,DECLAS,claim+bracketCode
national security,4310,national security,claim
Ambassador,4310,Ambassador,claim
DECLAS,4310,DECLAS,question
SPECIAL COUNSEL,4310,SPECIAL COUNSEL,question
IMPEACHMENT,4310,IMPEACHMENT,question
LOCKDOWN,4310,LOCKDOWN,question
VOTE-BY-MAIL,4310,VOTE-BY-MAIL,question
IMPEACHMENT,4310,IMPEACHMENT,claim
MSM,4317,MSM,request+bracketCode
COVID,4320,COVID,request+namedEntity
covid,4337,COVID,claim
covid,4337,COVID,question
covid,4337,COVID,question
CDC,4338,CDC,question+namedEntity
CDC,4338,CDC,namedEntity+claim+bracketCode
God bless,434,God,request+namedEntity
God bless,434, bless,request
COVID,4343,COVID,namedEntity+claim
COVID,4343,COVID,namedEntity+claim
narrative control,4348,narrative control,claim
DECLAS,4351,DECLAS,claim+bracketCode
"This is best achieved when the political cause of the insurgency has strong appeal, manipulating religious, tribal or local identity to exploit common societal grievances or needs.",4352,"This is best achieved when the political cause of the insurgency has strong appeal, manipulating religious, tribal or lo",claim
FISA,436,FISA,namedEntity+bracketCode
God save America.,4361,God,request+namedEntity
God save America.,4361, save ,request
God save America.,4361,America,request+namedEntity
God save America.,4361,.,request
administration,437,administration,url
Be strong in the Lord.,4374,Be strong in the Lord.,request
administration,438,administration,url
riots,4380,riots,question
COVID,4380,COVID,question+namedEntity
vote-by-mail,4380,vote-by-mail,question
Anons,4383,Anons,request
riots,4385,riots,claim
indictments,4385,indictments,claim
GOD BLESS,4387,GOD,request+namedEntity
GOD BLESS,4387, BLESS,request
Proverbs 13:9,4390,Proverbs 13:9,namedEntity
riots,4395,riots,claim
indictments,4395,indictments,claim
God wins.,4396,God,namedEntity+claim
God wins.,4396, wins.,claim
Pray for,4397,Pray for,request
Pray for,4397,Pray for,request
Pray for,4397,Pray for,request
protestors,4398,protestors,claim
protestors,4398,protestors,claim+bracketCode
God bless,44,God,request+namedEntity
God bless,44, bless,request
protestors,4403,protestors,question
protestors,4404,protestors,question
"The social unrest comes to a head in the violent political upheaval which sweeps away the traditionally and hierarchically structured ancien régime (the monarchy, the privileges of the nobility, the political power of the Catholic Church).",4408,The social unrest comes to a head in the violent political upheaval which sweeps away the traditionally and hierarchical,claim
"The social unrest comes to a head in the violent political upheaval which sweeps away the traditionally and hierarchically structured ancien régime (the monarchy, the privileges of the nobility, the political power of the Catholic Church).",4408,Catholic Church,namedEntity+claim
"The social unrest comes to a head in the violent political upheaval which sweeps away the traditionally and hierarchically structured ancien régime (the monarchy, the privileges of the nobility, the political power of the Catholic Church).",4408,).,claim
FOR GOD AND COUNTRY.,4413,FOR ,request
FOR GOD AND COUNTRY.,4413,GOD,request+namedEntity
FOR GOD AND COUNTRY.,4413, AND COUNTRY.,request
riot,4414,riot,claim
MSM,4415,MSM,claim
Biblical.,4418,Biblical.,prediction
Armor of God,4429,Armor of ,request
Armor of God,4429,God,request+namedEntity
Armor of God,4429,armor of ,request
Armor of God,4429,God,request+namedEntity
Armor of God,4429,armor of ,request
Armor of God,4429,God,request+namedEntity
The Great Awakening,4429,The Great Awakening,claim
"Godspeed, Patriot.",443,"Godspeed, ",request
"Godspeed, Patriot.",443,Patriot,request+namedEntity
"Godspeed, Patriot.",443,.,request
Anons,4438,Anons,claim
vote-by-mail,4446,vote-by-mail,question
Anons,4450,Anons,question
VOTE-BY-MAIL,4454,VOTE-BY-MAIL,question
vote-by-mail,4455,vote-by-mail,question
subpoena,4456,subpoena,claim
DECLAS,4457,DECLAS,question
GOD WINS.,4461,GOD,namedEntity+claim
GOD WINS.,4461, WINS.,claim
Put on the full armor of God so that you can take your stand against the devil's schemes.,4463,Put on the full armor of ,request
Put on the full armor of God so that you can take your stand against the devil's schemes.,4463,God,request+namedEntity
Put on the full armor of God so that you can take your stand against the devil's schemes.,4463, so that you can take your stand against the devil's schemes.,request
Biblical Times.,4465,Biblical Times.,prediction
"When in the Course of human events it becomes necessary for one people to dissolve the political bands which have connected them with another and to assume among the powers of the earth, the separate and equal station to which the Laws of Nature and of Nature's God entitle them, a decent respect to the opinions of mankind requires that they should declare the causes which impel them to the separation.",4466,When in the Course of human events it becomes necessary for one people to dissolve the political bands which have connec,request
"When in the Course of human events it becomes necessary for one people to dissolve the political bands which have connected them with another and to assume among the powers of the earth, the separate and equal station to which the Laws of Nature and of Nature's God entitle them, a decent respect to the opinions of mankind requires that they should declare the causes which impel them to the separation.",4466,God,request+namedEntity
"When in the Course of human events it becomes necessary for one people to dissolve the political bands which have connected them with another and to assume among the powers of the earth, the separate and equal station to which the Laws of Nature and of Nature's God entitle them, a decent respect to the opinions of mankind requires that they should declare the causes which impel them to the separation.",4466," entitle them, a decent respect to the opinions of mankind requires that they should declare the causes which impel them",request
"Old Glory knows not what color skin carries her - only that for which it stands - one Nation under God, indivisible, with Liberty and JUSTICE FOR ALL.",4469,Old Glory knows not what color skin carries her - only that for which it stands - one Nation under ,claim
"Old Glory knows not what color skin carries her - only that for which it stands - one Nation under God, indivisible, with Liberty and JUSTICE FOR ALL.",4469,God,namedEntity+claim
"Old Glory knows not what color skin carries her - only that for which it stands - one Nation under God, indivisible, with Liberty and JUSTICE FOR ALL.",4469,", indivisible, with Liberty and JUSTICE FOR ALL.",claim
protests,4476,protests,claim
COVID,4476,COVID,namedEntity
COVID,4476,COVID,namedEntity
vote-by-mail,4477,vote-by-mail,question
COVID,4489,COVID,namedEntity+claim
COVID,4489,COVID,namedEntity
COVID,4489,COVID,namedEntity
bribes,4489,bribes,claim
protests,4489,protests,claim
COVID,4489,COVID,namedEntity+claim
COVID,4489,COVID,namedEntity+claim
Do not let the media control you [incite division and hatred for one another by use of propaganda and fear mongering [dogma - a point of view or tenet put forth as authoritative without adequate grounds]].,4491,Do not let the media control you [incite division and hatred for one another by use of propaganda and fear mongering [do,request
COVID,4492,COVID,question
COVID,4492,COVID,question
rigged election,4494,rigged election,question
WWG1WGA,4496,WWG1WGA,request
WWG1WGA,4517,WWG1WGA,request
WWG1WGA,4518,WWG1WGA,request
WWG1WGA,4519,WWG1WGA,request
COVID,4522,COVID,question+namedEntity
Praying for a swift recovery to your back [keep fighting!,4523,Praying for a swift recovery to your back ,claim
Praying for a swift recovery to your back [keep fighting!,4523,[keep fighting!,claim+bracketCode
WWG1WGA,4523,WWG1WGA,request
censorship,4526,censorship,claim
God bless,4530,God,request+namedEntity
God bless,4530, bless,request
WWG1WGA,4530,WWG1WGA,request
WWG1WGA,4531,WWG1WGA,request
Divided by religion.,4535,Divided by religion.,claim
COVID,4537,COVID,question+namedEntity
whistleblower,4539,whistleblower,question
riots,4541,riots,prediction
pandemic,4541,pandemic,prediction
conviction,4541,conviction,claim
spiritual battle,4541,spiritual battle,claim
Child Abuse,4542,Child Abuse,claim
mainstream media,4542,mainstream media,claim
Heaven knows how to put a proper price upon its goods; and it would be strange indeed if so celestial an article as FREEDOM should not be highly rated.,4544,Heaven knows how to put a proper price upon its goods; and it would be strange indeed if so celestial an article as FREE,claim
mainstream media,4545,mainstream media,claim
protests_riots,4546,protests_riots,bracketCode
coronavirus,4548,coronavirus,claim
election fraud,4551,election fraud,question
Censorship,4553,Censorship,question+request
Define 'Dogma'.,4553,Define 'Dogma'.,question+request
Censorship,4553,Censorship,claim
FAKE NEWS,4553,FAKE NEWS,claim+bracketCode
Censorship,4553,Censorship,claim
Censorship,4553,Censorship,claim
Non-blue checkmarks then defend and promote attacker(s) [blues] viewpoint(s) [leftwing 'cult'] to instill echo_chamber wall-to-wall amplified narrative for each designated subject.,4556,Non-blue checkmarks then defend and promote attacker(s) ,claim
Non-blue checkmarks then defend and promote attacker(s) [blues] viewpoint(s) [leftwing 'cult'] to instill echo_chamber wall-to-wall amplified narrative for each designated subject.,4556,[blues],claim+bracketCode
Non-blue checkmarks then defend and promote attacker(s) [blues] viewpoint(s) [leftwing 'cult'] to instill echo_chamber wall-to-wall amplified narrative for each designated subject.,4556, viewpoint(s) ,claim
Non-blue checkmarks then defend and promote attacker(s) [blues] viewpoint(s) [leftwing 'cult'] to instill echo_chamber wall-to-wall amplified narrative for each designated subject.,4556,[leftwing 'cult'],claim+bracketCode
Non-blue checkmarks then defend and promote attacker(s) [blues] viewpoint(s) [leftwing 'cult'] to instill echo_chamber wall-to-wall amplified narrative for each designated subject.,4556, to instill echo_chamber wall-to-wall amplified narrative for each designated subject.,claim
Biblical.,4557,Biblical.,prediction
WWG1WGA,4558,WWG1WGA,request
"There was a time when these UNITED STATES OF AMERICA, ONE NATION UNDER GOD, was UNITED.",4559,There was a time when these ,claim
"There was a time when these UNITED STATES OF AMERICA, ONE NATION UNDER GOD, was UNITED.",4559,UNITED STATES,namedEntity+claim
"There was a time when these UNITED STATES OF AMERICA, ONE NATION UNDER GOD, was UNITED.",4559, OF AMERICA,namedEntity+claim
"There was a time when these UNITED STATES OF AMERICA, ONE NATION UNDER GOD, was UNITED.",4559,", ONE NATION UNDER ",claim
"There was a time when these UNITED STATES OF AMERICA, ONE NATION UNDER GOD, was UNITED.",4559,GOD,namedEntity+claim
"There was a time when these UNITED STATES OF AMERICA, ONE NATION UNDER GOD, was UNITED.",4559,", was UNITED.",claim
God bless,457,God,request+namedEntity
God bless,457, bless,request
WWG1WGA,4571,WWG1WGA,request
PRAY for,458,PRAY for,request
CDC,4584,CDC,question+namedEntity
riots,4592,riots,question
WWG1WGA,4593,WWG1WGA,request
DECLAS,4598,DECLAS,request+bracketCode
MSM,46,MSM,question
"""Free thought"" is a philosophical viewpoint which holds that positions regarding truth should be formed on the basis of logic, reason, and empiricism, rather than authority, tradition, revelation, or dogma.",4602,"""Free thought"" is a philosophical viewpoint which holds that positions regarding truth should be formed on the basis of ",claim
FVEY,4603,FVEY,namedEntity
FVEY,4603,FVEY,namedEntity
God Bless,4608,God,request+namedEntity
God Bless,4608, Bless,request
Anons,4609,Anons,claim
WWG1WGA,4616,WWG1WGA,request
DECLAS,4620,DECLAS,claim
Impeachment,4620,Impeachment,claim
Impeachment,4620,Impeachment,claim+bracketCode
CDC,4620,CDC,namedEntity+claim+bracketCode
Eliminate ability to find peace – strength in time of need [strict Church closures],4620,Eliminate ability to find peace – strength in time of need ,claim
Eliminate ability to find peace – strength in time of need [strict Church closures],4620,[strict Church closures],claim+bracketCode
censorship,4620,censorship,request
Indictments,4621,Indictments,bracketCode
Indictments,4621,Indictments,bracketCode
censored,4622,censored,question
Epstein island,4623,Epstein,namedEntity
Epstein island,4623, island,namedEntity
riots,4627,riots,question
Republican activist and Christian Coalition leader Beverly Russell admitted to an incestuous relationship with his step daughter.,4631,Republican activist and Christian Coalition leader ,claim
Republican activist and Christian Coalition leader Beverly Russell admitted to an incestuous relationship with his step daughter.,4631,Beverly Russell,namedEntity+claim
Republican activist and Christian Coalition leader Beverly Russell admitted to an incestuous relationship with his step daughter.,4631, admitted to an incestuous relationship with his step daughter.,claim
"Republican city councilman Mark Harris, who is described as a “good military man” and “church goer,” was convicted of repeatedly having sex with an 11-year-old girl and sentenced to 12 years in prison.",4632,Republican city councilman ,claim
"Republican city councilman Mark Harris, who is described as a “good military man” and “church goer,” was convicted of repeatedly having sex with an 11-year-old girl and sentenced to 12 years in prison.",4632,Mark Harris,namedEntity+claim
"Republican city councilman Mark Harris, who is described as a “good military man” and “church goer,” was convicted of repeatedly having sex with an 11-year-old girl and sentenced to 12 years in prison.",4632,", who is described as a “good military man” and “church goer,” was convicted of repeatedly having sex with an 11-year-ol",claim
"Republican benefactor of conservative Christian groups, Richard A. Dasen Sr.,",4633,"Republican benefactor of conservative Christian groups, Richard A. Dasen Sr.,",claim
Then: SA carried out unchecked street violence against Jews and Nazi opponents,4635,Then: ,claim
Then: SA carried out unchecked street violence against Jews and Nazi opponents,4635,SA,namedEntity+claim
Then: SA carried out unchecked street violence against Jews and Nazi opponents,4635, carried out unchecked street violence against Jews and ,claim
Then: SA carried out unchecked street violence against Jews and Nazi opponents,4635,Nazi,namedEntity+claim
Then: SA carried out unchecked street violence against Jews and Nazi opponents,4635, opponents,claim
rioters,4635,rioters,question
censorship,4635,censorship,claim
WWG1WGA,4637,WWG1WGA,request
whistleblower,4640,whistleblower,claim
whistleblower,4640,whistleblower,question+bracketCode
whistleblower,4640,whistleblower,question+bracketCode
whistleblower,4640,whistleblower,question+bracketCode
Ballot harvest,4640,Ballot harvest,claim
FOR GOD AND COUNTRY.,4641,FOR ,request
FOR GOD AND COUNTRY.,4641,GOD,request+namedEntity
FOR GOD AND COUNTRY.,4641, AND COUNTRY.,request
God bless,4643,God,request+namedEntity
God bless,4643, bless,request
Media blackout,4644,Media blackout,claim
MSM,4645,MSM,question
God bless,4648,God,request+namedEntity
God bless,4648, bless,request
an apostate from a religious faith.,4656,an apostate from a religious faith.,claim
protests,4672,protests,claim
protests,4672,protests,claim
ballot harvest,4688,ballot harvest,request
administration,4688,administration,request
administration,4688,administration,claim
Pandemic,4688,Pandemic,claim
